model,price,reviews,sells,url,vendor
Mi,89.67,969,19276,https://www.mercadolivre.com.br/repetidor-range-extender-xiaomi-mi-wi-fi-range-extender-pro-r03-preto-100v240v/p/MLB10448369?pdp_filters=category:MLB5867,Xiaomi
,829.77,7,35,https://produto.mercadolivre.com.br/MLB-2080400795-kit-3-roteador-wi-fi-d-link-covr-1100-mesh-ac1200-covr-1103-_JM,
DR4 300M,48.29,955,33634,https://www.mercadolivre.com.br/repetidor-dhj-dr4-300m-branco-110v220v/p/MLB17289456?pdp_filters=category:MLB5867,DHJ
,99.90,"5,289",84,https://produto.mercadolivre.com.br/MLB-1390830276-repetidor-amplificador-de-sinal-wifi-4-antenas-2800m-pixlink-_JM,
Archer,189.19,"1,130",20927,https://www.mercadolivre.com.br/roteador-access-point-tp-link-archer-c50-v4-branco-220v/p/MLB15304684?pdp_filters=category:MLB5867,TP-Link
DIR-825,399.49,79,1152,https://www.mercadolivre.com.br/roteador-d-link-dir-825-preto-100v240v/p/MLB15302813?pdp_filters=category:MLB5867,D-Link
,266.39,43,15,https://produto.mercadolivre.com.br/MLB-2009475838-access-point-indoor-tp-link-omada-eap110-branco-_JM,
,527.66,11,7,https://produto.mercadolivre.com.br/MLB-2004811197-roteador-access-point-tp-link-archer-ax10-preto-_JM,
,679.77,423,18,https://produto.mercadolivre.com.br/MLB-1507974939-roteador-tp-link-mesh-ac1200-mbps-ac-100-conexoes-deco-e4-_JM,
,519,162,4,https://produto.mercadolivre.com.br/MLB-2075910564-roteador-tp-link-archer-ax10-v120-preto-110220v-original-_JM,
,281.06,887,263,https://produto.mercadolivre.com.br/MLB-1549675943-repetidor-expansor-de-sinal-tp-link-re200-dual-band-245ghz-_JM,
,99.99,"1,033",20,https://produto.mercadolivre.com.br/MLB-2665156848-roteador-repetidor-intelbras-wireless-rf-301k-300mbps-_JM,
,290.81,86,83,https://produto.mercadolivre.com.br/MLB-1963599280-roteador-wi-fi-dual-band-wan-giga-lan-fast-gf-1200-intelbras-_JM,
,191.47,"1,571",4,https://produto.mercadolivre.com.br/MLB-2627219618-roteador-tplink-archer-c20w-wifi-ac-750mbps-3-antenas-_JM,
,269,687,5,https://produto.mercadolivre.com.br/MLB-2633987111-roteador-wds-bridge-tp-link-archer-c5-w-v4-branco-om-_JM,
,582.99,136,125,https://produto.mercadolivre.com.br/MLB-1691961398-roteador-wi-fi-d-link-covr-rede-mesh-ac1200-mbps-covr-1102-_JM,
,97.99,384,21,https://produto.mercadolivre.com.br/MLB-2618412046-repetidor-amplificador-de-sinal-wifi-2800mbps-botao-wps-_JM,
,119.90,178,6,https://produto.mercadolivre.com.br/MLB-2181082872-repetidor-wifi-multilaser-re056-branco-_JM,
,319,"2,369",26,https://produto.mercadolivre.com.br/MLB-2004576357-access-point-roteador-tp-link-archer-c6-preto-_JM,
,444.90,61,4,https://produto.mercadolivre.com.br/MLB-2068396028-roteador-multilaser-gigabit-ac2600-8-antenas-re016-_JM,
,119,178,20,https://produto.mercadolivre.com.br/MLB-1756808373-repetidor-de-sinal-wifi-300-mbps-bivolt-multilaser-re056-_JM,
Omada,695,4,271,https://www.mercadolivre.com.br/access-point-indoor-tp-link-omada-eap225-wall-branco-220v/p/MLB16023312?pdp_filters=category:MLB5867,TP-Link
,723.45,7,104,https://produto.mercadolivre.com.br/MLB-1738471277-kit-link-3g4g-amplimax-fit-somente-dados-cabo-10mroteador-_JM,
,1521.89,6,28,https://produto.mercadolivre.com.br/MLB-2049297950-roteador-vpn-gigabit-multi-wan-safestream-tl-er7206-tp-link-_JM,
,690,60,19,https://produto.mercadolivre.com.br/MLB-2170793053-access-point-outdoor-mikrotik-omnitik-5-rbomnitiku-5hnd-_JM,
,133,336,23,https://produto.mercadolivre.com.br/MLB-1732632644-roteador-multilaser-re163v-branco-1-unidade-_JM,
,118,397,17,https://produto.mercadolivre.com.br/MLB-2158489936-roteador-wireless-n-tp-link-wr829n-300mbps-modo-repetidor-_JM,
,285,151,5,https://produto.mercadolivre.com.br/MLB-2193492590-roteador-d-link-dir-853-preto-100v240v-verso-a2-_JM,
,285,174,6,https://produto.mercadolivre.com.br/MLB-2179632757-roteador-sfio-ac1300-4-ant-ws5200-db-gigabit-huawei-bivolt-_JM,
,1179.23,7,16,https://produto.mercadolivre.com.br/MLB-2213967463-ubnt-uap-ac-iw-unifi-ap-ac-in-wall-dual-band-245-_JM,
,382.61,"3,217",43,https://produto.mercadolivre.com.br/MLB-1285644990-roteador-tp-link-n-450mbps-high-power-tl-wr941hp-_JM,
,1279,299,16,https://produto.mercadolivre.com.br/MLB-2673540092-access-point-indoor-ubiquiti-unifi-ac-pro-apuap-ac-pro-branc-_JM,
,1445,"1,112",8,https://produto.mercadolivre.com.br/MLB-1819389132-roteador-tp-link-deco-m5-3-pack-branco-100v240v-3-unid-_JM,
,180.09,444,9,https://produto.mercadolivre.com.br/MLB-1564552593-repetidor-tp-link-re200-branco-_JM,
,1299,299,4,https://produto.mercadolivre.com.br/MLB-2690278003-access-point-outdoor-access-point-ind-ubiquiti-unifi-ac-pro-_JM,
,186.50,"1,350",17,https://produto.mercadolivre.com.br/MLB-1825912201-roteador-intelbras-action-rf-1200-preto-100v240v-_JM,
,599,73,6,https://produto.mercadolivre.com.br/MLB-2202801700-roteador-tp-link-safestream-tl-r605-omada-_JM,
,799,5,27,https://produto.mercadolivre.com.br/MLB-1223447683-promoco-kit-amplimax4g-internet-telefonia-rural-roteador-_JM,
TL-PA4010 KIT,1890.90,7,148,https://www.mercadolivre.com.br/adaptador-powerline-tp-link-tl-pa4010-kit-v3-branco-e-cinza-2-unidades/p/MLB15291862?pdp_filters=category:MLB5867,TP-Link
,97,"2,462",275,https://produto.mercadolivre.com.br/MLB-2172833700-roteador-tp-link-tl-wr840n-branco-bivolt-_JM,
,74.30,6,88,https://produto.mercadolivre.com.br/MLB-2046896086-repetidor-de-sinal-amplificador-wireless-wifi-potente-barato-_JM,
,109.99,747,58,https://produto.mercadolivre.com.br/MLB-1905563736-roteador-access-repetidor-intelbras-iwr-3000n-branco-460-_JM,
,53.99,99,3462,https://produto.mercadolivre.com.br/MLB-1737403345-repetidor-de-sinal-amplificador-wireless-wifi-300mbps-barato-_JM,
,194.99,"1,130",6,https://produto.mercadolivre.com.br/MLB-2130179236-roteador-tp-link-archer-c50-ac1200-dual-band-_JM,
,98,39,649,https://produto.mercadolivre.com.br/MLB-1817949069-repetidor-wi-fi-mini-roteador-wireless-4-antenas-2800m-_JM,
,744.49,559,40,https://produto.mercadolivre.com.br/MLB-1316559790-ubiquiti-unifi-uap-ac-lite-24-e-5-ghz-1167mbps-_JM,
,391,22,9,https://produto.mercadolivre.com.br/MLB-2182730559-access-point-mikrotik-routerboard-hap-ac-lite-rb952ui-5ac2nd-_JM,
,314.89,99,51,https://produto.mercadolivre.com.br/MLB-1663140147-roteador-asus-rtac59u-ac1500-dband-4ant-wifi-mumimo-gig-ipv6-_JM,
,579.60,12,279,https://produto.mercadolivre.com.br/MLB-1738457124-link-3g4g-amplimax-fit-elsys-somente-dados-_JM,
,100,969,20,https://produto.mercadolivre.com.br/MLB-2603648537-repetidor-range-extender-mi-wi-fi-pro-r03-preto-100v240v-_JM,
,791.99,4,85,https://produto.mercadolivre.com.br/MLB-1700427685-kit-modem-roteador-3g-4g-45g-wifi-veicular-12v-110220v-_JM,
,374.49,"2,128",6,https://produto.mercadolivre.com.br/MLB-2092088819-roteador-intelbras-certificado-anatel-rg1200-dual-band-_JM,
,89.90,"5,289",46,https://produto.mercadolivre.com.br/MLB-1710543312-roteador-repetidor-de-sinal-wifi-sem-fio-super-potente-4-ant-_JM,
,192,705,231,https://produto.mercadolivre.com.br/MLB-1507404370-roteador-wireless-tp-link-ac-1200-dual-band-c50-_JM,
,840,4,6,https://produto.mercadolivre.com.br/MLB-2704949083-kit-20-roteador-intelbras-rf301k-com-fonte-tudo-testado-_JM,
,132,400,12,https://produto.mercadolivre.com.br/MLB-2620158120-roteador-ac1200-4-antenas-ipv6-re018-dual-band-_JM,
,78.80,208,4232,https://produto.mercadolivre.com.br/MLB-916551136-repetidor-de-sinal-wifi-expansor-wireless-300m-internet-_JM,
EXO,490,21,379,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-roteador-d-link-exo-dir-1360-preto-100v240v/p/MLB16193331?pdp_filters=category:MLB5867,D-Link
,78.20,"1,229",17,https://produto.mercadolivre.com.br/MLB-1912696840-roteador-mercusys-300mbps-mw301r-_JM,
,267,141,4,https://produto.mercadolivre.com.br/MLB-2633318352-roteador-mercusys-mr50g-ac1900-gigabit-2450ghz-mu-mimo-_JM,
,378,349,13,https://produto.mercadolivre.com.br/MLB-1773627872-roteador-tp-link-archer-c5-dual-band-ac1200-com-porta-usb-_JM,
,586.50,34,593,https://produto.mercadolivre.com.br/MLB-1726060528-amplimax-fit-elsys-link-4g-somente-dados-_JM,
,328,414,128,https://produto.mercadolivre.com.br/MLB-1854298934-roteador-wireless-tp-link-ac1200-ec220-g5-gigabit-4-antenas-_JM,
,142.46,336,9,https://produto.mercadolivre.com.br/MLB-1548071906-roteador-wireless-multilaser-300mbps-3-antenas-re163v-_JM,
,1407.12,23,11,https://produto.mercadolivre.com.br/MLB-1978969948-google-nest-wifi-roteador-mesh-ac2200-2nd-gen-com-nf-_JM,
,793,423,1,https://produto.mercadolivre.com.br/MLB-2684263239-roteador-sistema-wi-fi-mesh-tp-link-deco-e4-branc3-unidades-_JM,
,289,423,4,https://produto.mercadolivre.com.br/MLB-2702292865-access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-e4-nf-_JM,
RouterBOARD,329,24,468,https://www.mercadolivre.com.br/access-point-indoor-mikrotik-routerboard-hap-rb951ui-2nd-azul-e-branco-100v240v/p/MLB6322220?pdp_filters=category:MLB5867,MikroTik
,299,247,3,https://produto.mercadolivre.com.br/MLB-2708158194-roteador-wireless-mu-mimo-ac1200-gigabit-dual-band-wifi-ac10-_JM,
,149,710,25,https://produto.mercadolivre.com.br/MLB-1820475002-roteador-wifi-archer-c21-ac750-4-antenas-_JM,
,269,4,89,https://produto.mercadolivre.com.br/MLB-1070837015-mikrotik-routerboard-cap-lite-ap-paredeteto-l4-_JM,
,499,712,40,https://produto.mercadolivre.com.br/MLB-1316629118-mikrotik-routerboard-rb-750gr3-hex-880mhz-256mb-l4-_JM,
,97.99,384,5,https://produto.mercadolivre.com.br/MLB-2618469038-repetidor-amplificador-de-sinal-wifi-ultra-rapido-4-antenas-_JM,
,406,4,17,https://produto.mercadolivre.com.br/MLB-2203228851-mikrotik-routerboard-rbsxtsq5nd-l3-lite5-_JM,
,72.90,6,161,https://produto.mercadolivre.com.br/MLB-684577218-cabo-celular-rural-rgc58-com-15-metros-amplimax-aquario-_JM,
,285,129,5,https://produto.mercadolivre.com.br/MLB-2179759026-repetidor-d-link-dap-1610-branco-100v240v-mesh-ac1200-_JM,
,281.40,64,1,https://produto.mercadolivre.com.br/MLB-1667071860-roteador-tp-link-tl-r470t-preto-110v220v-1-unidade-_JM,
,99.20,"5,289",124,https://produto.mercadolivre.com.br/MLB-1630370630-roteador-repetidor-de-sinal-wifi-4-antenas-pix-link-lv-wr09-_JM,
,283,"2,369",6,https://produto.mercadolivre.com.br/MLB-2638873551-roteador-tp-link-ac1200-c6-gigabit-dual-band-mu-mimo-preto-_JM,
,104.93,"5,289",143,https://produto.mercadolivre.com.br/MLB-1302011216-repetidor-de-wi-fi-4-antenas-wireless-amplificador-de-sinal-tomada-super-forte-_JM,
,184.90,20,4,https://produto.mercadolivre.com.br/MLB-2665778323-access-point-range-extender-xiaomi-mi-ra75-preto-100v240v-_JM,
,69.90,26,374,https://produto.mercadolivre.com.br/MLB-731789768-repetidor-amplificador-expansor-sinal-wifi-roteador-300mbps-_JM,
,379,46,12,https://produto.mercadolivre.com.br/MLB-2059813436-router-tp-link-tl-r480t-load-balance-4pts-wan-4-links-_JM,
,354.89,"2,369",62,https://produto.mercadolivre.com.br/MLB-1497097179-roteador-wireless-gigabit-mu-mimo-ac1200-archer-c6-_JM,
,249.80,329,44,https://produto.mercadolivre.com.br/MLB-1871176828-roteador-sistema-wi-fi-mesh-intelbras-twibi-fast-100v240v-_JM,
,1210.23,587,30,https://produto.mercadolivre.com.br/MLB-1645709614-kit-3-roteador-gigabit-wi-fi-tp-link-mesh-ac1200-deco-m4-_JM,
,873.23,60,22,https://produto.mercadolivre.com.br/MLB-1769562471-mikrotik-routerboard-rb-omnitik-upa-5hnd-l5-nf-_JM,
,319.80,145,20,https://produto.mercadolivre.com.br/MLB-1973500114-roteador-intelbras-wi-fi-5-dual-band-ac-gf1200-preto-bivolt-_JM,
,639,169,7,https://produto.mercadolivre.com.br/MLB-2053971179-roteador-intelbras-twibi-giga-mesh-wifi-wirelless-2-unidads-_JM,
,111,311,6,https://produto.mercadolivre.com.br/MLB-1756812222-roteador-wifi-300mbps-multilaser-re160v-_JM,
,111,"2,462",5,https://produto.mercadolivre.com.br/MLB-2090099188-roteador-tp-link-tl-wr840n-branco-_JM,
,148.90,353,112,https://produto.mercadolivre.com.br/MLB-1696541655-repetidor-de-sinal-tp-link-wifi-300mbps-2-antenas-tl-wa855re-_JM,
,188.32,16,21,https://produto.mercadolivre.com.br/MLB-1498575926-roteador-tp-link-tl-wr940n-preto-_JM,
,339.88,"2,369",80,https://produto.mercadolivre.com.br/MLB-1856938739-roteador-tp-link-archer-ac1200-wireless-c6-preto-_JM,
,184.04,252,41,https://produto.mercadolivre.com.br/MLB-1633259627-roteador-mercusys-300-mbps-high-power-mw330hp-_JM,
